0.028353	0.016678	0.039368	0.004489	0.010003	0.005007	0.011673	0.006770	0.020265	0.004916	0.007649	0.014112	0.045696	0.007223	0.010345	0.012504	0.012389	0.014324	0.012370	0.025606	0.006763	0.007632	0.010506	0.035102	0.014138	0.019110	0.005639	0.037531	0.022269	0.009896	0.011372	0.000963	0.006181	0.002944	0.039404	0.006519	0.034229	0.006421	0.007743	0.015042	0.008295	0.011823	0.025529	0.015242	0.008645	0.005522	0.005224	0.012578	0.021491	0.276507	
0.003415	0.004565	0.012539	0.002126	0.005115	0.002244	0.005869	0.003505	0.074645	0.052269	0.006950	0.008413	0.005572	0.077042	0.011766	0.006670	0.019327	0.062454	0.022816	0.004864	0.002315	0.002417	0.008219	0.004774	0.003874	0.020444	0.002497	0.005282	0.004577	0.003126	0.031831	0.001945	0.003345	0.001335	0.004481	0.010494	0.010548	0.002841	0.006186	0.011231	0.012382	0.003708	0.003932	0.002567	0.046174	0.055923	0.001863	0.009086	0.017333	0.313107	
0.001381	0.002900	0.008544	0.001457	0.002694	0.001661	0.001162	0.003649	0.014936	0.001600	0.161204	0.002874	0.002192	0.001609	0.002364	0.001978	0.007639	0.001658	0.007487	0.002733	0.001185	0.001054	0.001801	0.002075	0.002294	0.022223	0.001883	0.001606	0.002144	0.001364	0.001398	0.001516	0.001482	0.000977	0.001733	0.087244	0.009592	0.002102	0.006598	0.004348	0.001067	0.001601	0.001766	0.001224	0.002549	0.008056	0.001014	0.001648	0.002071	0.592665	
0.001055	0.017005	0.018517	0.011947	0.007848	0.001095	0.085825	0.013120	0.020983	0.001990	0.002253	0.023214	0.001656	0.002175	0.079238	0.088987	0.015985	0.002203	0.011173	0.021376	0.000838	0.000862	0.029380	0.001521	0.025267	0.009281	0.001334	0.001255	0.001963	0.000983	0.001521	0.000732	0.006677	0.000667	0.001371	0.003025	0.017797	0.001550	0.008905	0.050553	0.005340	0.001147	0.001285	0.004411	0.014715	0.008555	0.000718	0.144283	0.005792	0.220626	
0.006293	0.025982	0.013279	0.003733	0.065228	0.045751	0.007307	0.006689	0.012406	0.001908	0.003714	0.023182	0.009853	0.002148	0.020648	0.013727	0.009389	0.002347	0.008053	0.012311	0.023376	0.016038	0.024452	0.019007	0.002498	0.011130	0.050655	0.002117	0.033160	0.021529	0.001870	0.000957	0.032035	0.026033	0.003013	0.004311	0.017986	0.057919	0.012704	0.013206	0.002144	0.025063	0.020212	0.005517	0.007925	0.007557	0.021235	0.012599	0.007963	0.221840	
0.000885	0.002662	0.064412	0.001361	0.003935	0.001265	0.001480	0.018646	0.017531	0.002231	0.002553	0.013435	0.001330	0.002154	0.004102	0.002677	0.030423	0.001959	0.034925	0.003475	0.001448	0.001565	0.005627	0.001511	0.003629	0.069073	0.002206	0.000884	0.002237	0.002009	0.001303	0.000717	0.002903	0.000767	0.000987	0.003299	0.108157	0.001604	0.042741	0.005000	0.001005	0.002383	0.001482	0.001075	0.003141	0.012411	0.001154	0.002308	0.002823	0.503108	
0.022799	0.012847	0.035603	0.003082	0.011610	0.005811	0.007576	0.007379	0.025678	0.019539	0.007321	0.013153	0.037003	0.029674	0.008749	0.006694	0.015844	0.030600	0.022028	0.016504	0.004395	0.004031	0.011697	0.028164	0.005922	0.022574	0.006527	0.030705	0.016524	0.005272	0.019666	0.004810	0.007158	0.003362	0.031746	0.015630	0.032638	0.007375	0.016019	0.011248	0.009862	0.006228	0.020129	0.011670	0.020309	0.013289	0.003691	0.007050	0.022012	0.260805	
0.005813	0.035997	0.013391	0.003323	0.081354	0.065535	0.001302	0.004509	0.033548	0.001838	0.006536	0.008816	0.010763	0.002581	0.012869	0.013506	0.008651	0.002532	0.011786	0.022825	0.018784	0.002630	0.005736	0.019711	0.010351	0.007956	0.072416	0.001804	0.026899	0.004393	0.001707	0.000854	0.034578	0.037062	0.002152	0.005317	0.006632	0.083028	0.006549	0.017732	0.001993	0.004007	0.019045	0.002235	0.003613	0.002758	0.020329	0.002866	0.003317	0.226074	
0.009887	0.046850	0.039938	0.041815	0.007889	0.000908	0.004998	0.037308	0.020252	0.005827	0.015427	0.024999	0.015744	0.008860	0.008033	0.005068	0.037327	0.010094	0.014959	0.008526	0.003272	0.004225	0.015583	0.012344	0.004762	0.013394	0.001179	0.013005	0.008912	0.005451	0.006666	0.000611	0.006717	0.000595	0.013701	0.009400	0.030510	0.001160	0.010590	0.029174	0.020037	0.006541	0.009281	0.018521	0.009715	0.003727	0.002365	0.005938	0.021318	0.346594	
0.003269	0.037930	0.035354	0.030209	0.017838	0.002692	0.002371	0.029866	0.020813	0.003956	0.003438	0.044861	0.005078	0.005885	0.012086	0.012486	0.032477	0.005880	0.019330	0.026824	0.002920	0.003194	0.031834	0.004823	0.030388	0.009190	0.003197	0.003859	0.005277	0.004015	0.004189	0.002324	0.014904	0.001592	0.004179	0.007139	0.030744	0.003612	0.017332	0.032587	0.013609	0.004773	0.004165	0.011610	0.013373	0.003647	0.002326	0.003272	0.014988	0.358294	
