90	0	0	0	0	0	0	0	0	0	8	0	11	0	0	
25	0	0	0	42	0	0	0	0	161	58	0	0	0	0	
80	35	0	49	1	0	0	0	0	46	0	1	0	9	150	
0	0	0	0	0	0	0	0	0	156	0	0	0	0	0	
0	0	0	1	0	0	66	0	0	0	149	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	124	0	0	0	0	
14	0	0	0	0	190	0	0	0	0	0	0	0	0	0	
0	33	0	0	0	1	0	0	1	123	2	3	0	0	42	
0	0	0	162	0	2	0	0	0	0	0	0	0	275	0	
0	0	124	0	0	0	0	0	0	0	0	0	0	18	0	
0	0	0	0	0	0	0	0	432	1	0	0	0	0	0	
0	0	5	1	73	0	126	0	0	32	0	0	6	0	18	
147	0	0	0	0	0	0	0	0	0	16	0	9	1	0	
0	0	198	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	164	44	0	0	0	19	1	0	23	0	
0	0	0	0	90	178	0	0	0	0	17	1	0	0	0	
1	60	10	24	0	0	2	0	0	99	0	19	0	35	64	
28	0	158	0	1	0	1	0	0	0	0	0	0	0	0	
0	125	35	48	0	2	0	0	0	0	0	7	0	0	78	
43	0	0	0	218	0	0	0	0	0	26	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	32	0	70	0	0	
0	0	0	0	1	0	0	0	0	0	0	0	97	0	0	
0	1	5	0	0	34	141	0	0	0	0	0	7	0	0	
104	0	0	0	0	0	0	0	0	0	33	0	31	0	0	
0	0	0	0	265	0	0	0	0	0	0	0	0	1	0	
0	71	0	0	0	0	0	271	0	0	0	165	0	0	0	
0	0	0	0	0	0	0	0	0	0	137	0	0	0	2	
124	0	3	0	0	0	0	0	0	0	0	0	0	0	0	
43	0	0	0	0	1	0	0	0	0	45	0	96	0	0	
0	0	0	0	0	0	0	0	0	0	2	0	126	0	0	
27	18	78	0	0	0	2	0	0	0	0	0	0	0	0	
0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	1	0	61	0	0	0	61	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	70	0	1	0	0	
129	0	0	1	0	0	0	0	0	0	0	0	5	0	0	
0	165	1	0	0	0	0	0	223	0	0	4	0	8	0	
58	0	8	8	0	0	0	71	0	2	0	5	11	0	220	
0	0	0	0	2	0	0	0	0	0	157	0	0	0	0	
0	79	0	0	0	0	48	166	0	4	0	0	0	0	0	
0	0	0	63	39	75	39	0	0	62	2	1	0	4	0	
18	0	28	0	0	0	0	0	0	63	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	152	0	0	
69	0	0	0	0	0	0	0	0	0	32	0	44	0	0	
40	0	0	0	0	0	0	0	0	50	0	0	22	0	0	
0	1	110	0	16	18	36	0	0	0	0	12	0	1	0	
1	0	0	0	1	0	0	0	0	0	0	0	0	252	1	
0	0	0	0	0	0	0	0	0	0	36	0	48	0	0	
0	0	0	0	0	320	0	0	0	0	2	0	0	0	0	
54	14	35	0	0	0	11	0	0	44	0	0	22	0	2	
2	253	0	745	0	0	597	711	1089	178	15	1205	0	345	592	
